"","AQSID","Param","Site_code","site_name","status","AgencyID","Agency_name","EPA_reg","lat","long","elev","GMT_offset","country","MSA_code","MSA_name","state_code","state_name","county_code","county_name"
"1","483091037","RWS","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"2","483091037","WS","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"3","483091037","WD","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"4","483091037","SRAD","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"5","483091037","NOX","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"6","483091037","NO","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"7","483091037","TEMP","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"8","483091037","RWD","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"9","483091037","O3","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"10","483091037","PM2.5","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"11","483091037","NO2","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"12","483091037","CO","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"13","483091037","SO2","1037","Waco C1037","Active","TX1","Texas Commission on Environmental Quality","R6",31.6531,-97.0706,140.3,-6,"US",47380," Waco, TX ","48","TX","309","MC LENNAN"
"14","530090015","WD","0015","Neah Bay 2-Makah Tribe","Active","WA1","Washington Department of Ecology","R10",48.366058,-124.610046,0.3,-8,"US",38820," Port Angeles, WA ","53","WA","009","CLALLAM"
"15","450918001","SO2","8001","Catawba Longhouse","Inactive","SC1","South Carolina DHEC","R4",34.9127,-80.8745,162,-5,"US",16740," Charlotte-Gastonia-Concord, NC-SC ","45","SC","091","YORK"
"16","460650003","PM2.5","0003","Pierre","Active","SD1","South Dakota Department of Agriculture and Natural Resources","R8",44.373786,-100.287269,0,-6,"US",NA,"","46","SD","065","HUGHES"
